Date,Team 1,FT,HT,Team 2,Season
Fri Sep 11 2020,Rizespor,1-2,0-0,Fenerbahce,2020-21
Sat Sep 12 2020,Karagumruk,3-0,1-0,Yeni Malatyaspor,2020-21
Sat Sep 12 2020,Sivasspor,0-2,0-1,Alanyaspor,2020-21
Sat Sep 12 2020,Galatasaray,3-1,3-0,Gaziantep,2020-21
Sat Sep 12 2020,Goztep,5-1,3-0,Denizlispor,2020-21
Sun Sep 13 2020,Ankaragucu,1-2,0-0,Erzurum BB,2020-21
Sun Sep 13 2020,Kayserispor,1-0,1-0,Kasimpasa,2020-21
Sun Sep 13 2020,Antalyaspor,2-0,1-0,Genclerbirligi,2020-21
Sun Sep 13 2020,Trabzonspor,1-3,0-1,Besiktas,2020-21
Mon Sep 14 2020,Hatayspor,2-0,1-0,Buyuksehyr,2020-21
Fri Sep 18 2020,Yeni Malatyaspor,1-1,1-1,Goztep,2020-21
Sat Sep 19 2020,Genclerbirligi,0-0,0-0,Konyaspor,2020-21
Sat Sep 19 2020,Denizlispor,0-0,0-0,Trabzonspor,2020-21
Sat Sep 19 2020,Alanyaspor,2-0,1-0,Kayserispor,2020-21
Sat Sep 19 2020,Besiktas,1-1,1-0,Antalyaspor,2020-21
Sun Sep 20 2020,Erzurum BB,1-2,0-0,Sivasspor,2020-21
Sun Sep 20 2020,Kasimpasa,2-0,1-0,Rizespor,2020-21
Sun Sep 20 2020,Buyuksehyr,0-2,0-1,Galatasaray,2020-21
Sun Sep 20 2020,Gaziantep,2-2,0-1,Karagumruk,2020-21
Mon Sep 21 2020,Fenerbahce,0-0,0-0,Hatayspor,2020-21
Fri Sep 25 2020,Karagumruk,2-0,0-0,Buyuksehyr,2020-21
Sat Sep 26 2020,Kayserispor,1-3,0-2,Erzurum BB,2020-21
Sat Sep 26 2020,Goztep,2-2,0-1,Gaziantep,2020-21
Sat Sep 26 2020,Hatayspor,1-0,0-0,Kasimpasa,2020-21
Sat Sep 26 2020,Trabzonspor,3-1,3-0,Yeni Malatyaspor,2020-21
Sun Sep 27 2020,Rizespor,1-1,0-0,Alanyaspor,2020-21
Sun Sep 27 2020,Konyaspor,4-1,1-0,Besiktas,2020-21
Sun Sep 27 2020,Sivasspor,0-0,0-0,Ankaragucu,2020-21
Sun Sep 27 2020,Galatasaray,0-0,0-0,Fenerbahce,2020-21
Mon Sep 28 2020,Antalyaspor,1-0,0-0,Denizlispor,2020-21
Fri Oct 2 2020,Ankaragucu,0-1,0-1,Kayserispor,2020-21
Fri Oct 2 2020,Gaziantep,1-1,0-0,Trabzonspor,2020-21
Sat Oct 3 2020,Yeni Malatyaspor,1-0,1-0,Antalyaspor,2020-21
Sat Oct 3 2020,Buyuksehyr,0-0,0-0,Goztep,2020-21
Sat Oct 3 2020,Erzurum BB,0-0,0-0,Rizespor,2020-21
Sat Oct 3 2020,Fenerbahce,2-1,1-0,Karagumruk,2020-21
Sun Oct 4 2020,Denizlispor,0-0,0-0,Konyaspor,2020-21
Sun Oct 4 2020,Alanyaspor,6-0,4-0,Hatayspor,2020-21
Sun Oct 4 2020,Besiktas,0-1,0-1,Genclerbirligi,2020-21
Sun Oct 4 2020,Kasimpasa,1-0,1-0,Galatasaray,2020-21
Sat Oct 17 2020,Rizespor,5-3,2-3,Ankaragucu,2020-21
Sat Oct 17 2020,Kayserispor,1-3,0-1,Sivasspor,2020-21
Sat Oct 17 2020,Konyaspor,1-1,0-0,Yeni Malatyaspor,2020-21
Sat Oct 17 2020,Trabzonspor,0-2,0-1,Buyuksehyr,2020-21
Sun Oct 18 2020,Antalyaspor,1-1,1-0,Gaziantep,2020-21
Sun Oct 18 2020,Karagumruk,1-1,1-0,Kasimpasa,2020-21
Sun Oct 18 2020,Goztep,2-3,1-2,Fenerbahce,2020-21
Mon Oct 19 2020,Galatasaray,1-2,1-1,Alanyaspor,2020-21
Mon Oct 19 2020,Genclerbirligi,1-2,0-2,Denizlispor,2020-21
Fri Oct 23 2020,Kasimpasa,0-0,0-0,Goztep,2020-21
Sat Oct 24 2020,Gaziantep,1-0,0-0,Konyaspor,2020-21
Sat Oct 24 2020,Buyuksehyr,5-1,4-1,Antalyaspor,2020-21
Sat Oct 24 2020,Erzurum BB,1-2,1-1,Galatasaray,2020-21
Sun Oct 25 2020,Yeni Malatyaspor,2-1,1-1,Genclerbirligi,2020-21
Sun Oct 25 2020,Alanyaspor,2-0,1-0,Karagumruk,2020-21
Sun Oct 25 2020,Fenerbahce,3-1,0-1,Trabzonspor,2020-21
Mon Oct 26 2020,Denizlispor,2-3,0-2,Besiktas,2020-21
Mon Oct 26 2020,Sivasspor,0-2,0-1,Rizespor,2020-21
Fri Oct 30 2020,Karagumruk,5-1,3-0,Erzurum BB,2020-21
Fri Oct 30 2020,Trabzonspor,3-4,3-2,Kasimpasa,2020-21
Sat Oct 31 2020,Genclerbirligi,1-1,0-1,Gaziantep,2020-21
Sat Oct 31 2020,Galatasaray,1-0,1-0,Ankaragucu,2020-21
Sun Nov 1 2020,Rizespor,1-0,1-0,Kayserispor,2020-21
Sun Nov 1 2020,Konyaspor,1-2,0-1,Buyuksehyr,2020-21
Sun Nov 1 2020,Besiktas,1-0,0-0,Yeni Malatyaspor,2020-21
Mon Nov 2 2020,Antalyaspor,1-2,0-0,Fenerbahce,2020-21
Mon Nov 2 2020,Hatayspor,1-1,1-1,Sivasspor,2020-21
Fri Nov 6 2020,Gaziantep,3-1,1-0,Besiktas,2020-21
Sat Nov 7 2020,Kasimpasa,2-2,1-0,Antalyaspor,2020-21
Sat Nov 7 2020,Alanyaspor,1-1,0-0,Trabzonspor,2020-21
Sat Nov 7 2020,Erzurum BB,1-1,0-1,Goztep,2020-21
Sat Nov 7 2020,Fenerbahce,0-2,0-0,Konyaspor,2020-21
Sun Nov 8 2020,Ankaragucu,2-2,1-2,Karagumruk,2020-21
Sun Nov 8 2020,Yeni Malatyaspor,2-0,2-0,Denizlispor,2020-21
Sun Nov 8 2020,Buyuksehyr,2-1,0-1,Genclerbirligi,2020-21
Sun Nov 8 2020,Kayserispor,0-1,0-0,Hatayspor,2020-21
Sun Nov 8 2020,Sivasspor,1-2,0-1,Galatasaray,2020-21
Sat Nov 21 2020,Karagumruk,1-1,0-1,Sivasspor,2020-21
Sat Nov 21 2020,Denizlispor,0-1,0-1,Gaziantep,2020-21
Sat Nov 21 2020,Genclerbirligi,1-5,1-2,Fenerbahce,2020-21
Sat Nov 21 2020,Besiktas,3-2,2-0,Buyuksehyr,2020-21
Sun Nov 22 2020,Hatayspor,2-2,1-1,Rizespor,2020-21
Sun Nov 22 2020,Goztep,3-1,1-0,Ankaragucu,2020-21
Sun Nov 22 2020,Konyaspor,2-1,0-1,Kasimpasa,2020-21
Sun Nov 22 2020,Antalyaspor,0-2,0-0,Alanyaspor,2020-21
Sun Nov 22 2020,Trabzonspor,1-0,1-0,Erzurum BB,2020-21
Mon Nov 23 2020,Galatasaray,1-1,0-0,Kayserispor,2020-21
Fri Nov 27 2020,Ankaragucu,0-1,0-1,Trabzonspor,2020-21
Sat Nov 28 2020,Gaziantep,2-2,1-0,Yeni Malatyaspor,2020-21
Sat Nov 28 2020,Buyuksehyr,3-3,2-0,Denizlispor,2020-21
Sat Nov 28 2020,Rizespor,0-4,0-1,Galatasaray,2020-21
Sun Nov 29 2020,Erzurum BB,2-2,1-0,Antalyaspor,2020-21
Sun Nov 29 2020,Alanyaspor,1-0,1-0,Konyaspor,2020-21
Sun Nov 29 2020,Kasimpasa,2-0,2-0,Genclerbirligi,2020-21
Sun Nov 29 2020,Fenerbahce,3-4,1-2,Besiktas,2020-21
Mon Nov 30 2020,Kayserispor,0-0,0-0,Karagumruk,2020-21
Mon Nov 30 2020,Sivasspor,0-1,0-0,Goztep,2020-21
Fri Dec 4 2020,Besiktas,3-0,1-0,Kasimpasa,2020-21
Sat Dec 5 2020,Genclerbirligi,2-1,1-0,Alanyaspor,2020-21
Sat Dec 5 2020,Goztep,1-1,0-0,Kayserispor,2020-21
Sat Dec 5 2020,Konyaspor,2-0,1-0,Erzurum BB,2020-21
Sat Dec 5 2020,Yeni Malatyaspor,1-1,0-1,Buyuksehyr,2020-21
